x	y	hex	rgb
33	20	#A4ECFD	rgb(164,236,253)
193	17	#6ADAF3	rgb(106,218,243)
360	15	#3ACEF1	rgb(58,206,241)
491	17	#1DD0FB	rgb(29,208,251)
504	92	#15CFFC	rgb(21,207,252)
504	161	#12CEFB	rgb(18,206,251)
504	232	#14C3EF	rgb(20,195,239)
468	257	#0FB8E2	rgb(15,184,226)
358	255	#1DBFE4	rgb(29,191,228)
232	253	#35C4E7	rgb(53,196,231)
102	253	#57CCE8	rgb(87,204,232)
30	243	#6ED5EE	rgb(110,213,238)
11	210	#7DE0F9	rgb(125,224,249)
13	134	#8EE7FD	rgb(142,231,253)
15	64	#A1EBFE	rgb(161,235,254)
35	89	#91E7FD	rgb(145,231,253)
234	69	#51D7F7	rgb(81,215,247)
365	71	#2ED1F8	rgb(46,209,248)
236	208	#3BD2F7	rgb(59,210,247)
361	203	#1FCFF9	rgb(31,207,249)
241	154	#3ED8FC	rgb(62,216,252)
